Date and time,Channel Flow (Cumecs),Quality,Interpolation type,Remarks
,,,,Disclaimer
,,,,Use of the information and data contained within this file is at your sole risk.
,,,,"The data is telemetered data, which is transmitted and published by automatic processes."
,,,,"The data is unchecked and may not be accurate, current or complete and it may contain errors."
,,,,Hydro Tasmania:
,,,,"  . makes no representations, either expressed or implied, as to the accuracy of the information and data contained in this file"
,,,,  . accepts no liability however arising for any loss resulting from the use of the information and data in this file or reliance placed on it; and
,,,,"  . makes no representations, either expressed or implied, as to the suitability of the said information and data for any particular purpose."
,,,,
,,,,Copyright 2014 Hydro Electric Corporation.
,,,,No part of this data may be copied to third parties without the
,,,,specific written consent of Hydro Tasmania.
,,,,Time-series interpolation types
,,,,"  InstVal = Instantaneous Value, linear interpolation between observations. For example continuous watercourse level."
,,,,  PrecVal = Preceeding period average value. For example daily avergae flow for the 1st day of Jan 2012 would have timestamp 02/01/2012 00:00
,,,,  PrecMax = Preceding period maximum value. For example maximum weekly watercourse discharge
,,,,  PrecMin = Preceding period minimum value. For example daily minimum temperature
,,,,  PrecTot = Preceding period total value. For example daily total rainfall for the 1st day of Jan 2012 would have date stamp 02/01/2012 00:00
,,,,"  InstTot = Instantaneous total, total value that ocurred at an event"
,,,,"  NoJoin  = Discontinuous value, collection occurs infrequently and interpolation or integration not possible"
,,,,"  SuccVal = Succeeding period Value, value holds until changed"
,,,,  PrecDir = Preceding period directional value.  For example wind direction
,,,,site = LAKE RIVER BELOW WOODS LAKE DAM
,,,,location = 20M D/S WOODS DAM
14-10-1999 00:00,0.009,unverified data,PrecVal,
15-10-1999 00:00,0.009,unverified data,PrecVal,
16-10-1999 00:00,0.009,unverified data,PrecVal,
17-10-1999 00:00,0.009,unverified data,PrecVal,
18-10-1999 00:00,0.008,unverified data,PrecVal,
19-10-1999 00:00,0.008,unverified data,PrecVal,
20-10-1999 00:00,0.007,unverified data,PrecVal,
21-10-1999 00:00,0.007,unverified data,PrecVal,
22-10-1999 00:00,0.007,unverified data,PrecVal,
23-10-1999 00:00,0.006,unverified data,PrecVal,
24-10-1999 00:00,0.006,unverified data,PrecVal,
25-10-1999 00:00,0.005,unverified data,PrecVal,
26-10-1999 00:00,0.004,unverified data,PrecVal,
27-10-1999 00:00,0.003,unverified data,PrecVal,
28-10-1999 00:00,0.002,unverified data,PrecVal,
29-10-1999 00:00,0.001,unverified data,PrecVal,
30-10-1999 00:00,0.001,unverified data,PrecVal,
31-10-1999 00:00,0.001,unverified data,PrecVal,
01-11-1999 00:00,0,unverified data,PrecVal,
02-11-1999 00:00,0.001,unverified data,PrecVal,
03-11-1999 00:00,0,unverified data,PrecVal,
04-11-1999 00:00,0.159,unverified data,PrecVal,
05-11-1999 00:00,0.681,unverified data,PrecVal,
06-11-1999 00:00,0.685,unverified data,PrecVal,
07-11-1999 00:00,0.685,unverified data,PrecVal,
08-11-1999 00:00,0.688,unverified data,PrecVal,
09-11-1999 00:00,0.688,unverified data,PrecVal,
10-11-1999 00:00,0.685,unverified data,PrecVal,
11-11-1999 00:00,0.683,unverified data,PrecVal,
12-11-1999 00:00,0.681,unverified data,PrecVal,
13-11-1999 00:00,0.677,unverified data,PrecVal,
14-11-1999 00:00,0.684,unverified data,PrecVal,
15-11-1999 00:00,0.681,unverified data,PrecVal,
16-11-1999 00:00,0.679,unverified data,PrecVal,
17-11-1999 00:00,0.649,unverified data,PrecVal,
18-11-1999 00:00,0.635,unverified data,PrecVal,
19-11-1999 00:00,0.63,unverified data,PrecVal,
20-11-1999 00:00,0.629,unverified data,PrecVal,
21-11-1999 00:00,0.631,unverified data,PrecVal,
22-11-1999 00:00,0.632,unverified data,PrecVal,
23-11-1999 00:00,0.639,unverified data,PrecVal,
24-11-1999 00:00,0.639,unverified data,PrecVal,
25-11-1999 00:00,0.635,unverified data,PrecVal,
26-11-1999 00:00,0.631,unverified data,PrecVal,
27-11-1999 00:00,0.629,unverified data,PrecVal,
28-11-1999 00:00,0.625,unverified data,PrecVal,
29-11-1999 00:00,0.628,unverified data,PrecVal,
30-11-1999 00:00,0.628,unverified data,PrecVal,
01-12-1999 00:00,0.63,unverified data,PrecVal,
02-12-1999 00:00,0.634,unverified data,PrecVal,
03-12-1999 00:00,0.634,unverified data,PrecVal,
04-12-1999 00:00,0.801,unverified data,PrecVal,
05-12-1999 00:00,0.972,unverified data,PrecVal,
06-12-1999 00:00,0.963,unverified data,PrecVal,
07-12-1999 00:00,0.96,unverified data,PrecVal,
08-12-1999 00:00,0.958,unverified data,PrecVal,
09-12-1999 00:00,0.959,unverified data,PrecVal,
10-12-1999 00:00,0.964,unverified data,PrecVal,
11-12-1999 00:00,0.961,unverified data,PrecVal,
12-12-1999 00:00,0.963,unverified data,PrecVal,
13-12-1999 00:00,0.958,unverified data,PrecVal,
14-12-1999 00:00,0.933,unverified data,PrecVal,
15-12-1999 00:00,0.927,unverified data,PrecVal,
16-12-1999 00:00,0.919,unverified data,PrecVal,
17-12-1999 00:00,0.928,unverified data,PrecVal,
18-12-1999 00:00,0.931,unverified data,PrecVal,
19-12-1999 00:00,0.927,unverified data,PrecVal,
20-12-1999 00:00,0.916,unverified data,PrecVal,
21-12-1999 00:00,0.903,unverified data,PrecVal,
22-12-1999 00:00,0.894,unverified data,PrecVal,
23-12-1999 00:00,0.892,unverified data,PrecVal,
24-12-1999 00:00,0.892,unverified data,PrecVal,
25-12-1999 00:00,0.892,unverified data,PrecVal,
26-12-1999 00:00,0.888,unverified data,PrecVal,
27-12-1999 00:00,0.888,unverified data,PrecVal,
28-12-1999 00:00,0.887,unverified data,PrecVal,
29-12-1999 00:00,0.892,unverified data,PrecVal,
30-12-1999 00:00,0.888,unverified data,PrecVal,
31-12-1999 00:00,0.885,unverified data,PrecVal,
01-01-2000 00:00,0.88,unverified data,PrecVal,
02-01-2000 00:00,0.876,unverified data,PrecVal,
03-01-2000 00:00,0.872,unverified data,PrecVal,
04-01-2000 00:00,0.87,unverified data,PrecVal,
05-01-2000 00:00,0.876,unverified data,PrecVal,
06-01-2000 00:00,0.877,unverified data,PrecVal,
07-01-2000 00:00,0.867,unverified data,PrecVal,
08-01-2000 00:00,0.787,unverified data,PrecVal,
09-01-2000 00:00,0.713,unverified data,PrecVal,
10-01-2000 00:00,0.71,unverified data,PrecVal,
11-01-2000 00:00,0.707,unverified data,PrecVal,
12-01-2000 00:00,0.703,unverified data,PrecVal,
13-01-2000 00:00,0.698,unverified data,PrecVal,
14-01-2000 00:00,0.696,unverified data,PrecVal,
15-01-2000 00:00,0.696,unverified data,PrecVal,
16-01-2000 00:00,0.691,unverified data,PrecVal,
17-01-2000 00:00,0.689,unverified data,PrecVal,
18-01-2000 00:00,0.686,unverified data,PrecVal,
19-01-2000 00:00,0.684,unverified data,PrecVal,
20-01-2000 00:00,0.68,unverified data,PrecVal,
21-01-2000 00:00,0.683,unverified data,PrecVal,
22-01-2000 00:00,0.675,unverified data,PrecVal,
23-01-2000 00:00,0.666,unverified data,PrecVal,
24-01-2000 00:00,0.663,unverified data,PrecVal,
25-01-2000 00:00,0.65,unverified data,PrecVal,
26-01-2000 00:00,0.643,unverified data,PrecVal,
27-01-2000 00:00,0.646,unverified data,PrecVal,
28-01-2000 00:00,0.645,unverified data,PrecVal,
29-01-2000 00:00,0.643,unverified data,PrecVal,
30-01-2000 00:00,0.648,unverified data,PrecVal,
31-01-2000 00:00,0.639,unverified data,PrecVal,
01-02-2000 00:00,0.629,unverified data,PrecVal,
02-02-2000 00:00,0.625,unverified data,PrecVal,
03-02-2000 00:00,0.628,unverified data,PrecVal,
04-02-2000 00:00,0.69,unverified data,PrecVal,
05-02-2000 00:00,0.817,unverified data,PrecVal,
06-02-2000 00:00,0.839,unverified data,PrecVal,
07-02-2000 00:00,0.826,unverified data,PrecVal,
08-02-2000 00:00,0.812,unverified data,PrecVal,
09-02-2000 00:00,0.807,unverified data,PrecVal,
10-02-2000 00:00,0.913,unverified data,PrecVal,
11-02-2000 00:00,1.11,unverified data,PrecVal,
12-02-2000 00:00,1.132,unverified data,PrecVal,
13-02-2000 00:00,1.136,unverified data,PrecVal,
14-02-2000 00:00,1.123,unverified data,PrecVal,
15-02-2000 00:00,1.112,unverified data,PrecVal,
16-02-2000 00:00,1.106,unverified data,PrecVal,
17-02-2000 00:00,1.094,unverified data,PrecVal,
18-02-2000 00:00,1.08,unverified data,PrecVal,
19-02-2000 00:00,1.069,unverified data,PrecVal,
20-02-2000 00:00,1.06,unverified data,PrecVal,
21-02-2000 00:00,1.069,unverified data,PrecVal,
22-02-2000 00:00,1.066,unverified data,PrecVal,
23-02-2000 00:00,1.063,unverified data,PrecVal,
24-02-2000 00:00,1.06,unverified data,PrecVal,
25-02-2000 00:00,1.049,unverified data,PrecVal,
26-02-2000 00:00,1.043,unverified data,PrecVal,
27-02-2000 00:00,1.049,unverified data,PrecVal,
28-02-2000 00:00,1.038,unverified data,PrecVal,
29-02-2000 00:00,1.021,unverified data,PrecVal,
01-03-2000 00:00,1.012,unverified data,PrecVal,
02-03-2000 00:00,1.022,unverified data,PrecVal,
03-03-2000 00:00,1.044,unverified data,PrecVal,
04-03-2000 00:00,1.042,unverified data,PrecVal,
05-03-2000 00:00,1.036,unverified data,PrecVal,
06-03-2000 00:00,1.034,unverified data,PrecVal,
07-03-2000 00:00,1.028,unverified data,PrecVal,
08-03-2000 00:00,1.013,unverified data,PrecVal,
09-03-2000 00:00,1.01,unverified data,PrecVal,
10-03-2000 00:00,1.004,unverified data,PrecVal,
11-03-2000 00:00,0.723,unverified data,PrecVal,
12-03-2000 00:00,0.611,unverified data,PrecVal,
13-03-2000 00:00,0.61,unverified data,PrecVal,
14-03-2000 00:00,0.611,unverified data,PrecVal,
15-03-2000 00:00,0.469,unverified data,PrecVal,
16-03-2000 00:00,0.4,unverified data,PrecVal,
17-03-2000 00:00,0.397,unverified data,PrecVal,
18-03-2000 00:00,0.394,unverified data,PrecVal,
19-03-2000 00:00,0.399,unverified data,PrecVal,
20-03-2000 00:00,0.395,unverified data,PrecVal,
21-03-2000 00:00,0.397,unverified data,PrecVal,
22-03-2000 00:00,0.363,unverified data,PrecVal,
23-03-2000 00:00,0.36,unverified data,PrecVal,
24-03-2000 00:00,0.365,unverified data,PrecVal,
25-03-2000 00:00,0.357,unverified data,PrecVal,
26-03-2000 00:00,0.357,unverified data,PrecVal,
27-03-2000 00:00,0.355,unverified data,PrecVal,
28-03-2000 00:00,0.356,unverified data,PrecVal,
29-03-2000 00:00,0.357,unverified data,PrecVal,
30-03-2000 00:00,0.358,unverified data,PrecVal,
31-03-2000 00:00,0.351,unverified data,PrecVal,
01-04-2000 00:00,0.352,unverified data,PrecVal,
02-04-2000 00:00,0.352,unverified data,PrecVal,
03-04-2000 00:00,0.353,unverified data,PrecVal,
04-04-2000 00:00,0.354,unverified data,PrecVal,
05-04-2000 00:00,0.351,unverified data,PrecVal,
06-04-2000 00:00,0.349,unverified data,PrecVal,
07-04-2000 00:00,0.347,unverified data,PrecVal,
08-04-2000 00:00,0.347,unverified data,PrecVal,
09-04-2000 00:00,0.349,unverified data,PrecVal,
10-04-2000 00:00,0.349,unverified data,PrecVal,
11-04-2000 00:00,0.348,unverified data,PrecVal,
12-04-2000 00:00,0.349,unverified data,PrecVal,
13-04-2000 00:00,0.349,unverified data,PrecVal,
14-04-2000 00:00,0.351,unverified data,PrecVal,
15-04-2000 00:00,0.349,unverified data,PrecVal,
16-04-2000 00:00,0.349,unverified data,PrecVal,
17-04-2000 00:00,0.354,unverified data,PrecVal,
18-04-2000 00:00,0.352,unverified data,PrecVal,
19-04-2000 00:00,,missing data,PrecVal,
