"surveyPoint","easting","northing","depth","sp","cover"
"L07",499500,5.3407e+006,2.4,"Charophytes",60
"L07",499500,5.3407e+006,2.4,"P. orchreatus",5
"L08",499750,5.3407e+006,2.8,"Elodea",85
"L08",499750,5.3407e+006,2.8,"Charophytes",10
"L08",499750,5.3407e+006,2.8,"P. orchreatus",1
"L09",500000,5.3407e+006,2.9,"Elodea",15
"L09",500000,5.3407e+006,2.9,"Charophytes",40
"L09",500000,5.3407e+006,2.9,"P. orchreatus",20
"L10",500250,5.3407e+006,2.9,"Elodea",70
"L10",500250,5.3407e+006,2.9,"Charophytes",2
"L10",500250,5.3407e+006,2.9,"P. orchreatus",10
"L11",500500,5.3407e+006,3.2,"Elodea",20
"L11",500500,5.3407e+006,3.2,"P. orchreatus",80
"L12",500750,5.3407e+006,3.3,"Elodea",95
"L12",500750,5.3407e+006,3.3,"P. orchreatus",20
"L13",501000,5.3407e+006,3.2,"Elodea",95
"L13",501000,5.3407e+006,3.2,"P. orchreatus",10
"L14",501250,5.3407e+006,3.1,"Elodea",100
"L14",501250,5.3407e+006,3.1,"P. orchreatus",15
"L15",501500,5.3407e+006,3,"Elodea",90
"L15",501500,5.3407e+006,3,"P. orchreatus",20
"L16",501750,5.3407e+006,2.3,"Elodea",20
"L16",501750,5.3407e+006,2.3,"P. orchreatus",80
"M07",499500,5.34045e+006,2.5,"Elodea",60
"M07",499500,5.34045e+006,2.5,"P. orchreatus",40
"M08",499750,5.34045e+006,2.8,"Elodea",40
"M08",499750,5.34045e+006,2.8,"P. orchreatus",30
"M09",500000,5.34045e+006,3.1,"Elodea",30
"M09",500000,5.34045e+006,3.1,"P. orchreatus",60
"M10",500250,5.34045e+006,3.1,"Elodea",30
"M10",500250,5.34045e+006,3.1,"P. orchreatus",60
"M11",500500,5.34045e+006,3.2,"Elodea",20
"M11",500500,5.34045e+006,3.2,"P. orchreatus",5
"M12",500750,5.34045e+006,3,"Elodea",20
"M12",500750,5.34045e+006,3,"P. orchreatus",60
"M13",501000,5.34045e+006,3.1,"Elodea",80
"M13",501000,5.34045e+006,3.1,"P. orchreatus",25
"M14",501250,5.34045e+006,3.3,"Elodea",85
"M14",501250,5.34045e+006,3.3,"P. orchreatus",20
"M15",501500,5.34045e+006,3,"Elodea",70
"M15",501500,5.34045e+006,3,"P. orchreatus",15
"M16",501750,5.34045e+006,2.4,"Elodea",40
"M16",501750,5.34045e+006,2.4,"P. orchreatus",20
"N07",499500,5.3402e+006,2.5,"Elodea",70
"N07",499500,5.3402e+006,2.5,"P. orchreatus",5
"N08",499750,5.3402e+006,2.7,"Elodea",40
"N08",499750,5.3402e+006,2.7,"P. orchreatus",60
"N09",500000,5.3402e+006,2.9,"Elodea",40
"N09",500000,5.3402e+006,2.9,"P. orchreatus",30
"N10",500250,5.3402e+006,3.3,"Elodea",50
"N10",500250,5.3402e+006,3.3,"P. orchreatus",30
"N11",500500,5.3402e+006,3.3,"Elodea",50
"N11",500500,5.3402e+006,3.3,"P. orchreatus",25
"N12",500750,5.3402e+006,3.1,"Elodea",90
"N12",500750,5.3402e+006,3.1,"P. orchreatus",5
"N13",501000,5.3402e+006,3.1,"Elodea",80
"N13",501000,5.3402e+006,3.1,"P. orchreatus",5
"N14",501250,5.3402e+006,3.1,"Elodea",30
"N14",501250,5.3402e+006,3.1,"P. orchreatus",80
"N15",501500,5.3402e+006,2.1,"Elodea",40
"N15",501500,5.3402e+006,2.1,"P. orchreatus",30
"O07",499500,5.33995e+006,2.3,"Elodea",60
"O07",499500,5.33995e+006,2.3,"P. orchreatus",1
"O08",499750,5.33995e+006,2.5,"Elodea",90
"O08",499750,5.33995e+006,2.5,"P. orchreatus",15
"O09",500000,5.33995e+006,3,"Elodea",20
"O09",500000,5.33995e+006,3,"P. orchreatus",70
"O10",500250,5.33995e+006,3,"Elodea",70
"O10",500250,5.33995e+006,3,"P. orchreatus",30
"O11",500500,5.33995e+006,3.1,"Elodea",85
"O11",500500,5.33995e+006,3.1,"P. orchreatus",1
"O12",500750,5.33995e+006,3,"Elodea",80
"O12",500750,5.33995e+006,3,"P. orchreatus",2
"O13",501000,5.33995e+006,2.9,"Elodea",70
"O13",501000,5.33995e+006,2.9,"P. orchreatus",7
"O14",501250,5.33995e+006,0.8,"Elodea",3
"P07",499500,5.3397e+006,2.8,"Elodea",70
"P07",499500,5.3397e+006,2.8,"P. orchreatus",5
"P08",499750,5.3397e+006,3.1,"Elodea",80
"P08",499750,5.3397e+006,3.1,"P. orchreatus",1
"P09",500000,5.3397e+006,3.1,"Elodea",10
"P09",500000,5.3397e+006,3.1,"P. orchreatus",90
"P10",500250,5.3397e+006,3,"Elodea",2
"P10",500250,5.3397e+006,3,"P. orchreatus",90
"P11",500500,5.3397e+006,2.7,"Elodea",70
"P11",500500,5.3397e+006,2.7,"P. orchreatus",30
"P12",500750,5.3397e+006,2.9,"Elodea",50
"P12",500750,5.3397e+006,2.9,"P. orchreatus",50
"P13",501000,5.3397e+006,1.9,"Elodea",50
"P13",501000,5.3397e+006,1.9,"P. orchreatus",10
"Q06",499250,5.33945e+006,1.5,"Elodea",50
"Q07",499500,5.33945e+006,3,"Elodea",80
"Q07",499500,5.33945e+006,3,"P. orchreatus",1
"Q08",499750,5.33945e+006,3.1,"Elodea",70
"Q08",499750,5.33945e+006,3.1,"P. orchreatus",2
"Q09",500000,5.33945e+006,3,"Elodea",80
