Date and time,Dissolved Oxygen (DO %) (Percent Saturation),Quality,Interpolation type,Remarks
,,,,Disclaimer
,,,,Use of the information and data contained within this file is at your sole risk.
,,,,"The data is telemetered data, which is transmitted and published by automatic processes."
,,,,"The data is unchecked and may not be accurate, current or complete and it may contain errors."
,,,,Hydro Tasmania:
,,,,"  . makes no representations, either expressed or implied, as to the accuracy of the information and data contained in this file"
,,,,  . accepts no liability however arising for any loss resulting from the use of the information and data in this file or reliance placed on it; and
,,,,"  . makes no representations, either expressed or implied, as to the suitability of the said information and data for any particular purpose."
,,,,
,,,,Copyright 2014 Hydro Electric Corporation.
,,,,No part of this data may be copied to third parties without the
,,,,specific written consent of Hydro Tasmania.
,,,,Time-series interpolation types
,,,,"  InstVal = Instantaneous Value, linear interpolation between observations. For example continuous watercourse level."
,,,,  PrecVal = Preceeding period average value. For example daily avergae flow for the 1st day of Jan 2012 would have timestamp 02/01/2012 00:00
,,,,  PrecMax = Preceding period maximum value. For example maximum weekly watercourse discharge
,,,,  PrecMin = Preceding period minimum value. For example daily minimum temperature
,,,,  PrecTot = Preceding period total value. For example daily total rainfall for the 1st day of Jan 2012 would have date stamp 02/01/2012 00:00
,,,,"  InstTot = Instantaneous total, total value that ocurred at an event"
,,,,"  NoJoin  = Discontinuous value, collection occurs infrequently and interpolation or integration not possible"
,,,,"  SuccVal = Succeeding period Value, value holds until changed"
,,,,  PrecDir = Preceding period directional value.  For example wind direction
,,,,site = WOODS LAKE
,,,,location = WHMS W1 - IFC W1
,,,,latitude =  -42:04:52.1
,,,,longitude =  146:59:07.8
,,,,Property = Dissolved Oxygen (DO %)
25-02-2009 00:00,88.7625,unverified data,PrecVal,
26-02-2009 00:00,89.20208,unverified data,PrecVal,
27-02-2009 00:00,90.87708,unverified data,PrecVal,
28-02-2009 00:00,91.73958,unverified data,PrecVal,
01-03-2009 00:00,91.74167,unverified data,PrecVal,
02-03-2009 00:00,91.63542,unverified data,PrecVal,
03-03-2009 00:00,91.73542,unverified data,PrecVal,
04-03-2009 00:00,89.86458,unverified data,PrecVal,
05-03-2009 00:00,88.05417,unverified data,PrecVal,
06-03-2009 00:00,87.27292,unverified data,PrecVal,
07-03-2009 00:00,88.00417,unverified data,PrecVal,
08-03-2009 00:00,89.02083,unverified data,PrecVal,
09-03-2009 00:00,89.35208,unverified data,PrecVal,
10-03-2009 00:00,90.6,unverified data,PrecVal,
11-03-2009 00:00,92.91458,unverified data,PrecVal,
12-03-2009 00:00,93.01875,unverified data,PrecVal,
13-03-2009 00:00,93.58542,unverified data,PrecVal,
14-03-2009 00:00,93.0875,unverified data,PrecVal,
15-03-2009 00:00,91.25,unverified data,PrecVal,
16-03-2009 00:00,89.0625,unverified data,PrecVal,
17-03-2009 00:00,87.92917,unverified data,PrecVal,
18-03-2009 00:00,88.34375,unverified data,PrecVal,
19-03-2009 00:00,88.75,unverified data,PrecVal,
20-03-2009 00:00,89.65417,unverified data,PrecVal,
21-03-2009 00:00,89.98333,unverified data,PrecVal,
22-03-2009 00:00,90.13125,unverified data,PrecVal,
23-03-2009 00:00,89.84167,unverified data,PrecVal,
24-03-2009 00:00,89.15417,unverified data,PrecVal,
25-03-2009 00:00,89.26667,unverified data,PrecVal,
