Date and time,Conductivity @ TRef 25 (uS/cm (25 TRef)),Quality,Interpolation type,Remarks
,,,,Disclaimer
,,,,Use of the information and data contained within this file is at your sole risk.
,,,,"The data is telemetered data, which is transmitted and published by automatic processes."
,,,,"The data is unchecked and may not be accurate, current or complete and it may contain errors."
,,,,Hydro Tasmania:
,,,,"  . makes no representations, either expressed or implied, as to the accuracy of the information and data contained in this file"
,,,,  . accepts no liability however arising for any loss resulting from the use of the information and data in this file or reliance placed on it; and
,,,,"  . makes no representations, either expressed or implied, as to the suitability of the said information and data for any particular purpose."
,,,,
,,,,Copyright 2014 Hydro Electric Corporation.
,,,,No part of this data may be copied to third parties without the
,,,,specific written consent of Hydro Tasmania.
,,,,Time-series interpolation types
,,,,"  InstVal = Instantaneous Value, linear interpolation between observations. For example continuous watercourse level."
,,,,  PrecVal = Preceeding period average value. For example daily avergae flow for the 1st day of Jan 2012 would have timestamp 02/01/2012 00:00
,,,,  PrecMax = Preceding period maximum value. For example maximum weekly watercourse discharge
,,,,  PrecMin = Preceding period minimum value. For example daily minimum temperature
,,,,  PrecTot = Preceding period total value. For example daily total rainfall for the 1st day of Jan 2012 would have date stamp 02/01/2012 00:00
,,,,"  InstTot = Instantaneous total, total value that ocurred at an event"
,,,,"  NoJoin  = Discontinuous value, collection occurs infrequently and interpolation or integration not possible"
,,,,"  SuccVal = Succeeding period Value, value holds until changed"
,,,,  PrecDir = Preceding period directional value.  For example wind direction
,,,,site = WOODS LAKE
,,,,location = WHMS W1 - IFC W1
22-06-2009 00:00,60.47,unverified data,PrecVal,
23-06-2009 00:00,60.6,unverified data,PrecVal,
24-06-2009 00:00,60.66,unverified data,PrecVal,
25-06-2009 00:00,60.76,unverified data,PrecVal,
26-06-2009 00:00,60.45,unverified data,PrecVal,
27-06-2009 00:00,59.82,unverified data,PrecVal,
28-06-2009 00:00,60.01,unverified data,PrecVal,
29-06-2009 00:00,59.93,unverified data,PrecVal,
30-06-2009 00:00,59.62,unverified data,PrecVal,
01-07-2009 00:00,59.64,unverified data,PrecVal,
02-07-2009 00:00,59.63,unverified data,PrecVal,
03-07-2009 00:00,59.5,unverified data,PrecVal,
04-07-2009 00:00,58.94,unverified data,PrecVal,
05-07-2009 00:00,58.83,unverified data,PrecVal,
06-07-2009 00:00,58.33,unverified data,PrecVal,
07-07-2009 00:00,58.32,unverified data,PrecVal,
08-07-2009 00:00,58.17,unverified data,PrecVal,
09-07-2009 00:00,58.54,unverified data,PrecVal,
10-07-2009 00:00,58.34,unverified data,PrecVal,
11-07-2009 00:00,58.51,unverified data,PrecVal,
12-07-2009 00:00,58.48,unverified data,PrecVal,
13-07-2009 00:00,58.14,unverified data,PrecVal,
14-07-2009 00:00,58.11,unverified data,PrecVal,
15-07-2009 00:00,57.98,unverified data,PrecVal,
16-07-2009 00:00,58.02,unverified data,PrecVal,
17-07-2009 00:00,58.04,unverified data,PrecVal,
18-07-2009 00:00,58.1,unverified data,PrecVal,
19-07-2009 00:00,58.06,unverified data,PrecVal,
20-07-2009 00:00,58.06,unverified data,PrecVal,
21-07-2009 00:00,57.95,unverified data,PrecVal,
22-07-2009 00:00,57.82,unverified data,PrecVal,
23-07-2009 00:00,57.42,unverified data,PrecVal,
24-07-2009 00:00,57.44,unverified data,PrecVal,
25-07-2009 00:00,57.38,unverified data,PrecVal,
26-07-2009 00:00,57.73,unverified data,PrecVal,
27-07-2009 00:00,57.63,unverified data,PrecVal,
28-07-2009 00:00,57.63,unverified data,PrecVal,
29-07-2009 00:00,57.59,unverified data,PrecVal,
30-07-2009 00:00,57.22,unverified data,PrecVal,
31-07-2009 00:00,57.51,unverified data,PrecVal,
01-08-2009 00:00,57.43,unverified data,PrecVal,
02-08-2009 00:00,57.54,unverified data,PrecVal,
03-08-2009 00:00,57.54,unverified data,PrecVal,
04-08-2009 00:00,57.3,unverified data,PrecVal,
05-08-2009 00:00,57.2,unverified data,PrecVal,
06-08-2009 00:00,56.87,unverified data,PrecVal,
07-08-2009 00:00,57.23,unverified data,PrecVal,
08-08-2009 00:00,57.22,unverified data,PrecVal,
